species,latitude,longitude,country,year,dataset,basisOfRecord
"Budorcas taxicolor Hodgson, 1850",35.078382,-106.663485,United States of America,2012,Unknown,PRESERVED_SPECIMEN
"Budorcas taxicolor Hodgson, 1850",No Coordinates,No Coordinates,Unknown,2012,Unknown,PRESERVED_SPECIMEN
"Budorcas taxicolor Hodgson, 1850",35.078382,-106.663485,United States of America,2012,Unknown,PRESERVED_SPECIMEN
"Budorcas taxicolor tibetana Milne-Edwards, 1874",No Coordinates,No Coordinates,China,2012,Unknown,MATERIAL_SAMPLE
"Budorcas taxicolor tibetana Milne-Edwards, 1874",No Coordinates,No Coordinates,China,2012,Unknown,MATERIAL_SAMPLE
"Budorcas taxicolor tibetana Milne-Edwards, 1874",No Coordinates,No Coordinates,China,2012,Unknown,MATERIAL_SAMPLE
"Budorcas taxicolor tibetana Milne-Edwards, 1874",No Coordinates,No Coordinates,China,2012,Unknown,MATERIAL_SAMPLE
"Budorcas taxicolor tibetana Milne-Edwards, 1874",No Coordinates,No Coordinates,China,2012,Unknown,MATERIAL_SAMPLE
"Budorcas tibetana (Milne-Edwards, 1874)",32.599819,104.798771,China,2011,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Budorcas taxicolor Hodgson, 1850",35.078382,-106.663485,United States of America,2011,Unknown,PRESERVED_SPECIMEN
"Budorcas taxicolor Hodgson, 1850",35.078382,-106.663485,United States of America,2011,Unknown,PRESERVED_SPECIMEN
"Budorcas taxicolor Hodgson, 1850",35.078382,-106.663485,United States of America,2011,Unknown,PRESERVED_SPECIMEN
"Budorcas taxicolor Hodgson, 1850",35.078382,-106.663485,United States of America,2011,Unknown,PRESERVED_SPECIMEN
"Budorcas taxicolor Hodgson, 1850",35.078382,-106.663485,United States of America,2010,Unknown,PRESERVED_SPECIMEN
"Budorcas taxicolor Hodgson, 1850",35.078382,-106.663485,United States of America,2010,Unknown,PRESERVED_SPECIMEN
"Budorcas taxicolor Hodgson, 1850",No Coordinates,No Coordinates,Unknown,2010,Unknown,PRESERVED_SPECIMEN
"Budorcas taxicolor Hodgson, 1850",35.078382,-106.663485,United States of America,2010,Unknown,PRESERVED_SPECIMEN
"Budorcas taxicolor Hodgson, 1850",35.078382,-106.663485,United States of America,2010,Unknown,PRESERVED_SPECIMEN
"Budorcas taxicolor Hodgson, 1850",35.078382,-106.663485,United States of America,2010,Unknown,PRESERVED_SPECIMEN
"Budorcas taxicolor Hodgson, 1850",35.078382,-106.663485,United States of America,2010,Unknown,PRESERVED_SPECIMEN
"Budorcas taxicolor Hodgson, 1850",35.078382,-106.663485,United States of America,2009,Unknown,PRESERVED_SPECIMEN
"Budorcas taxicolor Hodgson, 1850",35.078382,-106.663485,United States of America,2009,Unknown,PRESERVED_SPECIMEN
"Budorcas taxicolor whitei Lydekker, 1907",27.445761,89.677928,Bhutan,2009,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Budorcas taxicolor whitei Lydekker, 1907",27.301494,89.629556,Bhutan,2009,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Budorcas taxicolor whitei Lydekker, 1907",27.285323,89.792877,Bhutan,2009,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Budorcas taxicolor whitei Lydekker, 1907",27.415441,89.752643,Bhutan,2008,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Budorcas taxicolor Hodgson, 1850",35.078382,-106.663485,United States of America,2008,Unknown,PRESERVED_SPECIMEN
"Budorcas taxicolor Hodgson, 1850",35.078382,-106.663485,United States of America,2008,Unknown,PRESERVED_SPECIMEN
"Budorcas taxicolor Hodgson, 1850",35.078382,-106.663485,United States of America,2008,Unknown,PRESERVED_SPECIMEN
"Budorcas taxicolor Hodgson, 1850",35.078382,-106.663485,United States of America,2008,Unknown,PRESERVED_SPECIMEN
"Budorcas taxicolor Hodgson, 1850",35.078382,-106.663485,United States of America,2008,Unknown,PRESERVED_SPECIMEN
"Budorcas taxicolor Hodgson, 1850",35.078382,-106.663485,United States of America,2008,Unknown,PRESERVED_SPECIMEN
"Budorcas taxicolor Hodgson, 1850",35.078382,-106.663485,United States of America,2008,Unknown,PRESERVED_SPECIMEN
BOLD:ABU6903,38.073254,104.69114,China,2008,Unknown,MATERIAL_SAMPLE
BOLD:ABU6903,38.073254,104.69114,China,2008,Unknown,MATERIAL_SAMPLE
BOLD:ABU6903,38.073254,104.69114,China,2008,Unknown,MATERIAL_SAMPLE
"Budorcas taxicolor Hodgson, 1850",No Coordinates,No Coordinates,China,2008,Unknown,PRESERVED_SPECIMEN
